51, Self-emp-not-inc, 125417, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 42, United-States, >50K
19, ?, 440417, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 15, United-States, <=50K
23, Private, 334357, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
41, Self-emp-not-inc, 100800, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 70, United-States, >50K
36, Self-emp-not-inc, 35945, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 7298, 0, 45, United-States, >50K
33, Local-gov, 83671, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Female, 0, 0, 50, United-States, <=50K
35, Private, 98986, 7th-8th, 4, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 30, United-States, <=50K
34, Private, 272411, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
17, Self-emp-inc, 183784, 10th, 6, Never-married, Sales, Own-child, White, Male, 0, 0, 15, United-States, <=50K
25, Private, 104662, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 22, United-States, <=50K
40, Private, 193882, Assoc-voc, 11, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 302041, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
27, State-gov, 312692, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 12, United-States, <=50K
24, Private, 69045, Some-college, 10, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 40, Jamaica, <=50K
34, Private, 111415, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, <=50K
20, Private, 22966, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 12, Canada, <=50K
29, Private, 274969, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Female, 0, 0, 42, United-States, <=50K
31, Private, 323069, HS-grad, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 20, ?, <=50K
18, Private, 210026, 10th, 6, Never-married, Other-service, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
45, Private, 341995, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 42, United-States, >50K
32, Private, 107417, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 37, United-States, <=50K
33, ?, 289046, HS-grad, 9, Divorced, ?, Not-in-family, Black, Male, 0, 1741, 40, United-States, <=50K
26, Private, 324854, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
52, Private, 46788, Bachelors, 13, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 25, United-States, <=50K
37, Federal-gov, 325538, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K
20, Private, 211345, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Female, 0, 0, 20, United-States, <=50K
44, State-gov, 321824, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 38, United-States, <=50K
18, Private, 322999, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
66, Private, 140576, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
63, Private, 158609, Assoc-voc, 11, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 8, United-States, <=50K
39, State-gov, 142897, Assoc-voc, 11, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
29, Self-emp-not-inc, 110663, HS-grad, 9, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
35, Private, 361888, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 252565, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, <=50K
52, Local-gov, 278522, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
36, Private, 248010, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, <=50K
46, Private, 321327, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 7298, 0, 45, United-States, >50K
40, Private, 65866, Some-college, 10, Divorced, Tech-support, Unmarried, White, Female, 0, 213, 40, United-States, <=50K
31, Private, 44464, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 1564, 60, United-States, >50K
55, Private, 110871, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
17, Private, 232713, 10th, 6, Never-married, Craft-repair, Not-in-family, White, Male, 594, 0, 30, United-States, <=50K
39, Self-emp-not-inc, 163204, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Federal-gov, 47907, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 209483, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 47, United-States, <=50K
48, Local-gov, 121622, Masters, 14, Never-married, Prof-specialty, Unmarried, White, Female, 0, 1380, 40, United-States, <=50K
20, Private, 60639, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 28, United-States, <=50K
59, Private, 75867, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
30, Self-emp-not-inc, 250499, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 55, United-States, >50K
58, Self-emp-not-inc, 203039, 9th, 5, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
42, Private, 306496, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 103596, Assoc-voc, 11, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 421837, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
48, Self-emp-inc, 149218, Bachelors, 13, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 70, United-States, >50K
38, Local-gov, 72338, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male, 0, 0, 54, United-States, >50K
37, Private, 168941, 11th, 7, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 175856, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States, <=50K
56, Private, 101128, Assoc-acdm, 12, Married-spouse-absent, Other-service, Not-in-family, White, Male, 0, 0, 25, Iran, <=50K
22, Private, 324445, HS-grad, 9, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 125933, Bachelors, 13, Separated, Exec-managerial, Not-in-family, White, Male, 27828, 0, 45, United-States, >50K
24, Private, 228772, 5th-6th, 3, Never-married, Machine-op-inspct, Other-relative, White, Female, 0, 0, 40, Mexico, <=50K
46, Private, 292504, Some-college, 10, Married-spouse-absent, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 190728, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
34, Local-gov, 124827, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
59, Private, 196482, HS-grad, 9, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
47, Private, 57534, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
56, Self-emp-inc, 35723, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
17, ?, 127003, 9th, 5, Never-married, ?, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
45, Private, 112761, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 442131, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 115806, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 2547, 40, United-States, >50K
27, Private, 181659, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 226913, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
45, Private, 240841, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
54, ?, 124993, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 216361, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 0, 16, United-States, <=50K
66, ?, 299616, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Local-gov, 39236, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 594, 0, 25, United-States, <=50K
