22, ?, 120572, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
55, Self-emp-inc, 209569, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 50, United-States, >50K
68, Private, 194746, Doctorate, 16, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, Cuba, <=50K
55, Private, 154580, 10th, 6, Married-civ-spouse, Other-service, Husband, Black, Male, 2580, 0, 40, United-States, <=50K
34, Self-emp-inc, 544268, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
20, Private, 174714, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
33, Local-gov, 115488, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
54, Private, 320196, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, Germany, <=50K
22, Private, 151105, Some-college, 10, Never-married, Sales, Other-relative, White, Female, 0, 0, 18, United-States, <=50K
29, Private, 113870, 1st-4th, 2, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, ?, <=50K
49, Local-gov, 123088, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 46, United-States, <=50K
20, Private, 94364, Some-college, 10, Never-married, Prof-specialty, Not-in-family, Other, Female, 0, 0, 20, United-States, <=50K
45, Private, 81534, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 84, Japan, >50K
35, Self-emp-not-inc, 207568, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 75, United-States, <=50K
39, Private, 236391, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
68, ?, 103161, HS-grad, 9, Widowed, ?, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
27, Local-gov, 116662, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, ?, 184416, 10th, 6, Never-married, ?, Own-child, Black, Male, 0, 0, 30, United-States, <=50K
47, State-gov, 80914, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 47, United-States, >50K
37, State-gov, 108293, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
43, Private, 104660, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Male, 0, 0, 45, United-States, <=50K
23, Private, 111450, 12th, 8, Never-married, Other-service, Unmarried, Black, Male, 0, 0, 38, United-States, <=50K
17, Private, 117798, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
25, Private, 189656, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
57, Private, 94429, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 188401, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
63, Self-emp-not-inc, 404547, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States, <=50K
62, ?, 129246, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Local-gov, 745768, Some-college, 10, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 45, United-States, <=50K
19, Private, 414871, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 242619, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 170020, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3137, 0, 45, United-States, <=50K
25, Private, 125491, Some-college, 10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 34, United-States, <=50K
55, Local-gov, 168790, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 44, United-States, <=50K
32, Private, 168981, HS-grad, 9, Never-married, Adm-clerical, Other-relative, White, Female, 0, 0, 35, United-States, <=50K
68, Federal-gov, 422013, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 3683, 40, United-States, <=50K
24, Private, 126568, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 33, United-States, <=50K
50, Private, 71417, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3103, 0, 40, United-States, >50K
23, State-gov, 110128, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 40915, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
28, Private, 161087, Some-college, 10, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 45, Jamaica, <=50K
42, Local-gov, 195897, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 103802, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 0, 1408, 40, ?, <=50K
41, Private, 141642, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
49, Private, 189498, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
50, Private, 73493, Some-college, 10, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 182302, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Self-emp-not-inc, 50483, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 56, United-States, <=50K
53, Private, 188644, Preschool, 1, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico, <=50K
52, Private, 165998, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 216851, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 210736, 10th, 6, Married-spouse-absent, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 205903, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 170846, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
35, Local-gov, 177305, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2377, 40, United-States, <=50K
44, Private, 212894, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 55, United-States, >50K
50, Private, 135643, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, China, <=50K
25, Private, 265618, HS-grad, 9, Separated, Protective-serv, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
19, Private, 46162, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 25, United-States, <=50K
43, Private, 188786, Some-college, 10, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
28, Private, 44767, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 50, United-States, >50K
26, ?, 176967, 11th, 7, Never-married, ?, Not-in-family, White, Female, 0, 0, 65, United-States, <=50K
48, Self-emp-inc, 26145, 10th, 6, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 80, United-States, <=50K
37, Private, 389725, 12th, 8, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, <=50K
25, Private, 359985, 5th-6th, 3, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 33, Mexico, <=50K
43, Private, 227065, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 4650, 0, 40, United-States, <=50K
37, Private, 234807, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 37, United-States, <=50K
18, Private, 238867, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 1602, 40, United-States, <=50K
25, Private, 274228, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 84, United-States, <=50K
20, ?, 236523, 10th, 6, Never-married, ?, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
22, Private, 160120, 10th, 6, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, 0, 0, 30, United-States, <=50K
34, Private, 203051, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 27, United-States, <=50K
23, Private, 249046, 10th, 6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
17, Private, 27032, 10th, 6, Never-married, Sales, Own-child, White, Female, 0, 0, 12, United-States, <=50K
