22, Private, 215546, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
29, Federal-gov, 116394, Bachelors, 13, Married-AF-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
67, Local-gov, 181220, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 20, United-States, <=50K
19, Private, 209826, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
28, Private, 96020, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States, >50K
57, Private, 266189, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 42, United-States, <=50K
44, Private, 239876, Bachelors, 13, Divorced, Prof-specialty, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
57, Local-gov, 148509, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 35, India, <=50K
35, Private, 268620, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
20, Federal-gov, 410446, HS-grad, 9, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 20, United-States, <=50K
51, Private, 129177, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
39, Private, 176296, Assoc-acdm, 12, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 0, 60, United-States, <=50K
45, Private, 167523, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 2179, 45, United-States, <=50K
48, Private, 107373, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 159187, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 55, United-States, >50K
74, Private, 145463, 1st-4th, 2, Widowed, Priv-house-serv, Not-in-family, Black, Female, 0, 0, 15, United-States, <=50K
42, Private, 99373, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 205359, HS-grad, 9, Married-spouse-absent, Other-service, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
39, Self-emp-not-inc, 174330, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 430554, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
35, Private, 208165, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
31, Private, 138416, 5th-6th, 3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 56, Mexico, <=50K
60, Self-emp-not-inc, 146674, HS-grad, 9, Divorced, Craft-repair, Not-in-family, Black, Male, 0, 0, 50, ?, <=50K
30, Private, 164309, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
50, Private, 40623, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
51, Private, 162988, 10th, 6, Divorced, Other-service, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
46, Private, 155890, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 316470, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, Mexico, <=50K
52, Local-gov, 238959, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 32, United-States, >50K
55, Federal-gov, 145401, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
55, Private, 116878, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 30, United-States, >50K
17, ?, 112942, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 180062, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, <=50K
36, Private, 188834, 9th, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
26, Private, 106705, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Black, Male, 0, 0, 28, United-States, <=50K
23, Private, 162228, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
50, Private, 160572, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3137, 0, 47, United-States, <=50K
80, Private, 157778, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
50, Private, 155574, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
22, Private, 214399, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
56, Private, 159724, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
48, Private, 178686, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 201178, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
53, State-gov, 231472, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
19, ?, 182609, HS-grad, 9, Never-married, ?, Own-child, Black, Female, 0, 0, 25, United-States, <=50K
29, ?, 207032, HS-grad, 9, Married-spouse-absent, ?, Unmarried, Black, Female, 0, 0, 42, Haiti, <=50K
20, Private, 306639, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States, <=50K
51, Private, 135190, 7th-8th, 4, Separated, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 30, United-States, <=50K
25, Private, 391192, Assoc-voc, 11, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 232308, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, >50K
43, Private, 269015, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, Germany, >50K
30, Private, 63861, Assoc-acdm, 12, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
56, Private, 111218, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
37, Self-emp-not-inc, 348739, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
68, Private, 339168, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 30, United-States, <=50K
37, Private, 182668, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 35, United-States, <=50K
52, Self-emp-not-inc, 194791, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 205730, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 56, United-States, >50K
38, Private, 199256, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
53, Private, 142411, Assoc-voc, 11, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
21, ?, 212888, 11th, 7, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 56, United-States, <=50K
41, Private, 187881, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 3942, 0, 40, United-States, <=50K
27, Private, 137063, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
26, Private, 224943, Assoc-voc, 11, Never-married, Sales, Other-relative, Black, Male, 0, 0, 65, United-States, <=50K
53, ?, 158352, Masters, 14, Never-married, ?, Not-in-family, White, Female, 8614, 0, 35, United-States, >50K
55, ?, 227203, Assoc-acdm, 12, Married-spouse-absent, ?, Not-in-family, White, Female, 0, 0, 5, United-States, <=50K
53, Private, 149217, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Puerto-Rico, <=50K
26, Self-emp-not-inc, 201138, Assoc-voc, 11, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
47, Private, 312088, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Federal-gov, 196348, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 36011, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
38, Private, 26987, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 404951, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 38, United-States, <=50K
45, Self-emp-not-inc, 174426, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
48, Self-emp-not-inc, 324173, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
