46, Private, 118419, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Male, 0, 0, 38, United-States, <=50K
47, Self-emp-not-inc, 168109, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 15024, 0, 50, United-States, >50K
90, ?, 77053, HS-grad, 9, Widowed, ?, Not-in-family, White, Female, 0, 4356, 40, United-States, <=50K
37, Self-emp-not-inc, 192251, 10th, 6, Married-civ-spouse, Other-service, Wife, White, Female, 2635, 0, 40, United-States, <=50K
24, Private, 125031, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 123075, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Private, 98639, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 198183, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
43, Private, 191196, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
36, Private, 160192, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 170148, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
21, Private, 301556, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 19, United-States, <=50K
45, Federal-gov, 201127, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 56, United-States, >50K
33, Private, 105974, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 41, United-States, <=50K
66, ?, 213149, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 1825, 40, United-States, >50K
24, Private, 57711, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 35, United-States, >50K
84, Local-gov, 135839, Assoc-voc, 11, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 14, United-States, <=50K
61, Private, 198078, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
60, Private, 36077, 7th-8th, 4, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 324445, HS-grad, 9, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
27, Private, 118230, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
38, State-gov, 272944, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 210765, Assoc-voc, 11, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
56, Private, 187295, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
42, Private, 109912, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
28, State-gov, 149624, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
33, Private, 117779, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 46, United-States, >50K
58, Private, 194733, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Private, 38353, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
46, Local-gov, 272780, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 24, United-States, <=50K
42, Private, 176716, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
55, Local-gov, 253062, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
56, Self-emp-not-inc, 233312, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
43, Private, 342567, Bachelors, 13, Married-spouse-absent, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 452808, 10th, 6, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 183611, 1st-4th, 2, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 164678, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
49, Local-gov, 304246, Masters, 14, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 70, United-States, <=50K
32, Private, 27051, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 44, United-States, <=50K
48, Private, 350440, Some-college, 10, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander, Male, 0, 0, 40, Cambodia, >50K
32, Private, 262153, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 35, United-States, <=50K
27, State-gov, 291196, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
34, Self-emp-not-inc, 175697, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 75, United-States, <=50K
22, Private, 152744, Some-college, 10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, <=50K
53, Private, 165745, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 90934, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 28, United-States, <=50K
71, Self-emp-inc, 118119, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 20051, 0, 50, United-States, >50K
47, Federal-gov, 402975, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, <=50K
55, Private, 193568, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 206051, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
62, Private, 202242, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
35, Private, 54576, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 189702, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 174196, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
27, Self-emp-not-inc, 37302, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
37, Private, 176900, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 99, United-States, >50K
38, Private, 60313, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 356133, Some-college, 10, Never-married, Prof-specialty, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
28, Self-emp-inc, 201186, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 99999, 0, 40, United-States, >50K
37, Private, 146398, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
17, Private, 294485, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, United-States, <=50K
36, Federal-gov, 128884, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 48, United-States, <=50K
63, ?, 97823, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 38619, 11th, 7, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 10, United-States, <=50K
30, Private, 296453, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7298, 0, 40, United-States, >50K
19, Private, 311974, HS-grad, 9, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 25, Mexico, <=50K
31, Self-emp-not-inc, 162442, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
29, Private, 53434, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
35, Private, 29145, Assoc-voc, 11, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Federal-gov, 191295, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 48, United-States, <=50K
30, Private, 65278, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
25, Private, 120238, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 5178, 0, 40, Poland, >50K
28, Private, 274679, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
25, Private, 102476, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
19, Private, 292590, HS-grad, 9, Married-civ-spouse, Sales, Other-relative, White, Female, 0, 0, 25, United-States, <=50K
