27, Private, 221366, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 3103, 0, 50, United-States, >50K
47, Self-emp-not-inc, 152752, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 20, United-States, <=50K
67, Private, 105252, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Male, 7978, 0, 35, United-States, <=50K
34, Self-emp-inc, 207668, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 54, ?, >50K
32, Self-emp-inc, 209691, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, Canada, <=50K
28, Private, 82488, HS-grad, 9, Divorced, Tech-support, Own-child, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
57, ?, 50248, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 134886, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 99999, 0, 30, United-States, >50K
42, Private, 325353, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7688, 0, 42, United-States, >50K
22, Private, 199266, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
61, Private, 316359, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 155752, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
47, Private, 190139, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
25, Private, 209428, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 25, El-Salvador, <=50K
41, Private, 147314, HS-grad, 9, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male, 0, 0, 50, United-States, <=50K
31, Self-emp-not-inc, 80145, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 196745, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 16, United-States, <=50K
30, Local-gov, 40338, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 177733, 9th, 5, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 0, 35, Dominican-Republic, <=50K
34, Self-emp-not-inc, 204375, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 60, United-States, >50K
40, Local-gov, 33155, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 301070, HS-grad, 9, Divorced, Farming-fishing, Unmarried, White, Male, 0, 0, 45, United-States, <=50K
23, Private, 27776, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 24, United-States, <=50K
34, Private, 153942, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, Self-emp-not-inc, 241998, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 20, United-States, >50K
39, Federal-gov, 129573, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 1741, 40, United-States, <=50K
54, Private, 35459, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 158343, Some-college, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, ?, <=50K
32, ?, 119522, Bachelors, 13, Divorced, ?, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
42, Local-gov, 199095, Assoc-voc, 11, Widowed, Prof-specialty, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
58, Private, 160662, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
60, Self-emp-inc, 171315, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 70261, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, United-States, <=50K
34, Private, 122116, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 87054, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
44, Private, 174189, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
20, Private, 189148, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 48, United-States, <=50K
19, Private, 285263, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
66, Private, 115498, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 55, ?, >50K
39, Private, 218490, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1848, 40, United-States, >50K
33, Private, 191856, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 147284, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
63, Private, 250068, 12th, 8, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
45, Private, 144579, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
51, Private, 176969, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
58, Self-emp-not-inc, 141165, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
33, Private, 137088, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, 0, 0, 40, Ecuador, <=50K
57, Private, 346963, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 262153, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 35, United-States, <=50K
21, Private, 129350, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 50648, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 35, United-States, <=50K
50, Private, 152810, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Private, 101345, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 3103, 0, 55, United-States, >50K
50, Private, 124963, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 55, United-States, >50K
71, Self-emp-inc, 118119, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 20051, 0, 50, United-States, >50K
42, Self-emp-not-inc, 199143, Prof-school, 15, Divorced, Prof-specialty, Unmarried, White, Female, 7430, 0, 44, United-States, >50K
30, Local-gov, 370990, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 112115, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
19, Private, 181572, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 144949, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
38, Private, 208358, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
35, Private, 139086, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 398652, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
36, Local-gov, 285865, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
52, Local-gov, 155141, Doctorate, 16, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
27, Private, 110648, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 331776, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 226891, Some-college, 10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 30, ?, <=50K
40, Private, 273308, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 48, Mexico, <=50K
30, Local-gov, 115040, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male, 0, 0, 25, United-States, <=50K
41, Private, 184102, 11th, 7, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
51, Federal-gov, 27166, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
51, Self-emp-not-inc, 168539, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 168283, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, >50K
