31, Private, 574005, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 44, United-States, >50K
46, Private, 58683, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 55, United-States, >50K
54, Private, 213092, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 129573, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 41, United-States, <=50K
38, Local-gov, 331609, Some-college, 10, Widowed, Transport-moving, Not-in-family, Black, Female, 0, 0, 47, United-States, <=50K
20, Private, 24008, Some-college, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 24, United-States, <=50K
26, Private, 195994, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 15, United-States, <=50K
69, Self-emp-not-inc, 107548, 9th, 5, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 193895, Some-college, 10, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
61, Local-gov, 35001, 7th-8th, 4, Married-civ-spouse, Adm-clerical, Husband, White, Male, 2885, 0, 40, United-States, <=50K
60, Private, 82775, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, <=50K
24, Private, 262570, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 192337, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States, >50K
36, Private, 98515, Assoc-voc, 11, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
34, State-gov, 145874, Doctorate, 16, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, 0, 0, 20, China, <=50K
60, Self-emp-inc, 197553, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 50, United-States, >50K
60, Private, 252413, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 32, United-States, >50K
51, Private, 467611, 9th, 5, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, Mexico, <=50K
45, Private, 168837, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
61, Private, 72442, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K
59, Private, 221336, 10th, 6, Widowed, Other-service, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, <=50K
62, Local-gov, 76720, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 149018, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 164190, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 52, United-States, >50K
45, Private, 329603, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Poland, >50K
43, Private, 159549, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
60, Private, 226949, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 37, United-States, <=50K
40, Private, 115161, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 30, United-States, <=50K
43, Private, 316183, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 308136, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 187937, Bachelors, 13, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
31, Private, 118966, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 18, United-States, <=50K
38, Private, 165302, Some-college, 10, Divorced, Adm-clerical, Unmarried, Other, Female, 0, 0, 40, United-States, <=50K
65, Private, 386672, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 15, United-States, <=50K
18, Private, 164441, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 38, United-States, <=50K
36, Private, 329980, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 27828, 0, 40, United-States, >50K
33, Private, 198660, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 99999, 0, 56, United-States, >50K
32, Self-emp-not-inc, 267161, Bachelors, 13, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
57, Private, 180920, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 43, United-States, <=50K
50, Private, 126592, HS-grad, 9, Separated, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
55, Private, 160662, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 80, United-States, >50K
51, Private, 178241, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, >50K
30, Private, 425627, Some-college, 10, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 40, Mexico, <=50K
46, Private, 292504, Some-college, 10, Married-spouse-absent, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 149204, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 306889, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
42, Private, 204235, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
37, Local-gov, 48976, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 4865, 0, 45, United-States, <=50K
35, Private, 57640, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K
50, Private, 191299, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
52, ?, 318351, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 40, United-States, >50K
38, Private, 52596, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
49, Private, 129640, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 316688, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
25, Private, 134113, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
34, Private, 511361, Some-college, 10, Never-married, Other-service, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
29, ?, 19793, Some-college, 10, Divorced, ?, Unmarried, White, Female, 0, 0, 8, United-States, <=50K
58, Private, 94741, 12th, 8, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 24, United-States, <=50K
26, Private, 58098, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 1974, 40, United-States, <=50K
76, Local-gov, 169133, Some-college, 10, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
49, Private, 101825, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1977, 40, United-States, >50K
25, Local-gov, 84224, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 413297, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3411, 0, 70, Mexico, <=50K
41, Local-gov, 336571, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Self-emp-inc, 253062, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
52, Private, 177366, HS-grad, 9, Separated, Other-service, Other-relative, White, Female, 0, 0, 20, United-States, <=50K
38, Private, 78247, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, Self-emp-not-inc, 166036, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
22, Private, 89991, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 11, United-States, <=50K
24, Private, 157332, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 42, United-States, <=50K
55, Self-emp-not-inc, 183810, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
42, Private, 337629, 12th, 8, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 60, ?, >50K
40, Private, 56651, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, State-gov, 34364, Masters, 14, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
26, Private, 111243, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
32, Private, 372692, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
