30, ?, 205418, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 20, United-States, <=50K
54, Private, 219737, HS-grad, 9, Widowed, Sales, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K
26, Private, 58426, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
59, ?, 93655, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, State-gov, 346766, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 195124, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 35, Dominican-Republic, <=50K
20, Local-gov, 163965, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
25, Private, 252752, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
33, Private, 212918, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K
44, Private, 68729, Some-college, 10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 1902, 40, United-States, >50K
42, Private, 137907, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
56, Self-emp-inc, 119891, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1672, 40, United-States, <=50K
29, Private, 239632, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 175424, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
44, Local-gov, 196456, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1669, 40, United-States, <=50K
26, Private, 332008, Some-college, 10, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male, 0, 0, 37, Taiwan, <=50K
27, Private, 172009, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
50, Private, 271262, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
37, Private, 177858, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
30, Private, 208043, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
52, Private, 318975, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, Cuba, <=50K
36, Private, 180667, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1887, 60, United-States, >50K
18, Private, 130652, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 25, United-States, <=50K
78, Self-emp-inc, 237294, HS-grad, 9, Widowed, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
31, Private, 150309, Doctorate, 16, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 90, United-States, <=50K
30, Private, 186420, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
50, Local-gov, 153064, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5178, 0, 40, United-States, >50K
61, Private, 122246, 12th, 8, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, <=50K
56, ?, 35723, HS-grad, 9, Divorced, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
54, State-gov, 166774, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
56, State-gov, 54260, Doctorate, 16, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 2885, 0, 40, China, <=50K
24, Private, 265567, 11th, 7, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, <=50K
46, Private, 187581, HS-grad, 9, Divorced, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 56026, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, >50K
58, ?, 148673, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 10, United-States, <=50K
31, Private, 123983, Some-college, 10, Separated, Sales, Unmarried, Asian-Pac-Islander, Male, 0, 0, 40, South, <=50K
40, Private, 184857, HS-grad, 9, Separated, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 335777, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K
43, Private, 198965, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 38, United-States, >50K
40, Self-emp-not-inc, 155106, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 98656, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 79870, Some-college, 10, Married-civ-spouse, Exec-managerial, Own-child, White, Female, 2597, 0, 40, Japan, <=50K
46, Private, 130779, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
60, ?, 124487, Some-college, 10, Divorced, ?, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
40, Private, 382499, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
33, Private, 341187, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
56, Private, 200316, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States, <=50K
48, Private, 148995, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 485117, Bachelors, 13, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 20, United-States, <=50K
61, Self-emp-not-inc, 163174, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
20, Private, 206681, 12th, 8, Never-married, Sales, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
42, Private, 383493, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
56, Private, 175127, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 35, United-States, <=50K
35, ?, 117528, Assoc-voc, 11, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 40, United-States, >50K
25, Private, 131976, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 55, United-States, <=50K
53, Private, 117814, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
20, Private, 141481, 11th, 7, Married-civ-spouse, Sales, Other-relative, White, Female, 0, 0, 50, United-States, <=50K
19, Private, 140985, Some-college, 10, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 25, United-States, <=50K
30, Private, 113129, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 24, United-States, <=50K
58, Self-emp-not-inc, 195835, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
22, Private, 244773, HS-grad, 9, Never-married, Sales, Own-child, Black, Female, 0, 0, 15, United-States, <=50K
68, ?, 170182, Some-college, 10, Never-married, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
27, Private, 178709, Masters, 14, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
49, Self-emp-not-inc, 127921, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 430283, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 7298, 0, 40, United-States, >50K
62, Private, 218009, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 1977, 60, United-States, >50K
65, Private, 173674, HS-grad, 9, Divorced, Other-service, Other-relative, White, Female, 0, 0, 14, United-States, <=50K
56, Private, 181220, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
23, Private, 343019, 10th, 6, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
45, Self-emp-inc, 311231, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1485, 50, United-States, >50K
26, Private, 94936, Assoc-acdm, 12, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 209691, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 4386, 0, 50, United-States, >50K
53, Private, 172991, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 25, United-States, <=50K
38, Self-emp-not-inc, 190387, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
43, Private, 131899, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
52, Self-emp-inc, 114758, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 50, United-States, >50K
