27, Private, 189974, Some-college, 10, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
33, Private, 263561, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, >50K
49, Self-emp-not-inc, 377622, Assoc-acdm, 12, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
37, Private, 138441, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 106306, Some-college, 10, Divorced, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
47, Private, 213140, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 7688, 0, 40, United-States, >50K
58, Private, 519006, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 52, United-States, <=50K
19, Private, 264593, Some-college, 10, Never-married, Sales, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 119033, 9th, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Self-emp-not-inc, 149168, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, United-States, <=50K
22, Private, 99199, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States, <=50K
53, Self-emp-not-inc, 152652, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 406603, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 6, Iran, <=50K
44, Private, 202872, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
19, Private, 25429, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
21, Private, 307315, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 185410, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 285102, Masters, 14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, Taiwan, >50K
39, Federal-gov, 209609, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 132222, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2415, 40, United-States, >50K
42, Federal-gov, 53727, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, ?, <=50K
48, Local-gov, 85341, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
32, Private, 375833, 11th, 7, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 101290, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
67, Private, 274451, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 16, United-States, <=50K
43, Private, 413297, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
35, Private, 87556, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, ?, 28160, HS-grad, 9, Divorced, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
31, Self-emp-not-inc, 81030, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Private, 141550, 10th, 6, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 335570, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 30, ?, <=50K
41, Federal-gov, 34178, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 190532, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
32, Private, 213750, Assoc-voc, 11, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
56, Private, 98361, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K
27, Private, 113501, Masters, 14, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 45, United-States, <=50K
66, Private, 115498, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 55, ?, >50K
40, Private, 99373, 10th, 6, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
67, Self-emp-not-inc, 354405, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 146908, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 40, United-States, >50K
19, Private, 278480, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Self-emp-not-inc, 128876, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 121012, 9th, 5, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 33983, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
79, Federal-gov, 62176, Doctorate, 16, Widowed, Exec-managerial, Not-in-family, White, Male, 0, 0, 6, United-States, >50K
19, ?, 169324, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 10, United-States, <=50K
39, Local-gov, 267893, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, Black, Male, 7298, 0, 40, United-States, >50K
43, Private, 74581, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K
43, Local-gov, 114859, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 17, United-States, <=50K
62, Private, 254534, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 403107, 5th-6th, 3, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, El-Salvador, <=50K
34, Private, 175878, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 179877, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
35, ?, 98989, 9th, 5, Divorced, ?, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 38, United-States, <=50K
68, ?, 103161, HS-grad, 9, Widowed, ?, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
25, Private, 73895, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 10, United-States, <=50K
21, Private, 204596, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
19, Private, 163578, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 30, United-States, <=50K
29, Private, 280618, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, Local-gov, 316205, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, >50K
29, Private, 113870, 1st-4th, 2, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, ?, <=50K
35, Private, 186886, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 55, United-States, <=50K
20, Private, 131611, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 48, United-States, <=50K
67, Private, 105252, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Male, 7978, 0, 35, United-States, <=50K
19, Self-emp-not-inc, 194205, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, Mexico, <=50K
64, Private, 180401, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
58, Federal-gov, 497253, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, >50K
17, Private, 178953, 12th, 8, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
22, Private, 325179, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 50, United-States, <=50K
39, Private, 356838, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 12, United-States, <=50K
33, Self-emp-not-inc, 361497, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 164898, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 349703, Assoc-acdm, 12, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
47, Private, 344157, 11th, 7, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 320835, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
31, Local-gov, 149184, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 97, United-States, >50K
25, Private, 44363, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
57, Private, 183810, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
